movie_id,genre
394,Comedy
394,Family
395,Action
395,Comedy
396,Comedy
396,Romance
397,Action
397,Drama
397,Thriller
398,Comedy
398,Romance
399,Crime
399,Thriller
400,Adventure
400,Animation
400,Family
401,Adventure
401,Action
401,Science Fiction
402,War
403,Adventure
403,Action
403,Comedy
403,Thriller
404,Adventure
404,Fantasy
404,Action
404,Comedy
404,Family
405,Drama
405,History
405,Romance
406,Action
406,Crime
406,Drama
406,Thriller
407,Drama
407,Animation
407,Family
407,Comedy
408,Fantasy
408,Drama
408,Mystery
409,Action
409,Thriller
409,Drama
410,Drama
410,Music
411,Adventure
411,Fantasy
411,Drama
411,Comedy
411,Science Fiction
411,Family
412,Action
412,Adventure
412,Comedy
413,Action
413,Thriller
413,Adventure
413,Science Fiction
414,Fantasy
414,Comedy
414,Romance
414,Science Fiction
415,Mystery
415,Adventure
415,Comedy
416,Action
416,Science Fiction
417,Comedy
417,Drama
417,Fantasy
417,Romance
418,Horror
418,Comedy
418,Fantasy
419,Comedy
419,Family
420,Adventure
420,Fantasy
420,Science Fiction
421,Adventure
421,Fantasy
421,Science Fiction
422,Crime
422,Drama
422,Mystery
422,Thriller
423,Science Fiction
424,Fantasy
424,Comedy
425,Thriller
425,Adventure
425,Action
426,Adventure
426,Action
426,Thriller
427,Science Fiction
427,Adventure
427,Fantasy
428,Comedy
429,Action
429,Fantasy
430,Comedy
430,Animation
430,Family
431,Animation
431,Family
432,Comedy
432,Family
432,Fantasy
433,Action
433,Drama
433,Romance
434,Action
434,Comedy
434,Crime
434,Thriller
435,Comedy
435,Drama
436,Comedy
436,Fantasy
436,Family
436,Music
436,Animation
437,Comedy
438,Action
438,Comedy
438,Thriller
439,Drama
439,Comedy
439,Romance
440,Drama
440,Thriller
440,Mystery
441,Comedy
441,Romance
441,Drama
442,Animation
442,Comedy
442,Family
442,Science Fiction
443,Action
443,Crime
443,Science Fiction
443,Thriller
444,Fantasy
444,Comedy
444,Family
444,Romance
445,Thriller
445,Crime
445,Drama
446,Romance
446,Comedy
447,Action
447,Thriller
447,Crime
448,Mystery
448,Thriller
448,Action
449,Drama
450,Action
450,Thriller
450,Science Fiction
451,Comedy
451,Family
451,Science Fiction
452,Horror
452,Thriller
452,Fantasy
